No.Components,19,,,,,,,,,,,,,,,,,,,,,,,,
No.Rates,21,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,Name,ID,,,,,,,,,,,,,,,,,,,,,,,
f_SI,,,,,,,,,,,,,,,,,,,,,,,,,
K_h,,,,,,,,,,,,,,,,,,,,,,,,,
K_OH,,,,,,,,,,,,,,,,,,,,,,,,,
g_NOX,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Component.Name,Dissolved O2,Fermentation Product,,,,,,,,,,,,,,,,,,,,,,,
Component.Symb,S_O2,S_F,S_A,S_NH4,S_NO3,S_PO4,S_I,S_ALK,S_N2,X_I,X_S,X_H,X_PAO,X_PP,X_PHA,X_AUT,X_TSS,X_MeOH,X_MeP,Rate Expression,Rate Expression,,,,
Component.ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,ID,Description,K_h,S_O2 / (K_OH + S_O2),(X_S / X_H) / (K_X + X_S / X_H),X_H
Stoich.Row.0,,1 – f_SI,,v1_NH4,,v1_PO4,f_SI,v1_ALK,,,-1,,,,,,v1_TSS,,,0,Aerobic Hydrolysis,K_h,g_NOX,,
Stoich.Row.1,,1 – f_SI,,v2_NH4,,v2_PO4,f_SI,v2_ALK,,,-1,,,,,,v2_TSS,,,1,Anoxic Hydrolysis,,,,
Stoich.Row.2,,1 – f_SI,,v3_NH4,,v3_PO4,f_SI,v3_ALK,,,-1,,,,,,v3_TSS,,,2,Anaerobic Hydrolysis,,,,
Stoich.Row.3,,,,,,,,,,,,,,,,,,,,3,Growth on Fermentable Substrates,,,,
Stoich.Row.4,,,,,,,,,,,,,,,,,,,,4,Growth on Fermentation Products,,,,
Stoich.Row.5,,,,,,,,,,,,,,,,,,,,5,Denitrification with fermentable substrates,,,,
Stoich.Row.6,,,,,,,,,,,,,,,,,,,,6,Denitrification with fermentation products,,,,
Stoich.Row.7,,,,,,,,,,,,,,,,,,,,7,Fermentation,,,,
Stoich.Row.8,,,,,,,,,,,,,,,,,,,,8,Lysis of X_H,,,,
Stoich.Row.9,,,,,,,,,,,,,,,,,,,,9,Storage of X_PHA,,,,
Stoich.Row.10,,,,,,,,,,,,,,,,,,,,10,Aerobic Storage of X_PP,,,,
Stoich.Row.11,,,,,,,,,,,,,,,,,,,,11,Anoxic Storage of X_PP,,,,
Stoich.Row.12,,,,,,,,,,,,,,,,,,,,12,Aerobic Growth of X_PHA,,,,
Stoich.Row.13,,,,,,,,,,,,,,,,,,,,13,Anoxic Growth of X_PP,,,,
Stoich.Row.14,,,,,,,,,,,,,,,,,,,,14,Lysis of X_PAO,,,,
Stoich.Row.15,,,,,,,,,,,,,,,,,,,,15,Lysis of X_PP,,,,
Stoich.Row.16,,,,,,,,,,,,,,,,,,,,16,Lysis of X_PHA,,,,
Stoich.Row.17,,,,,,,,,,,,,,,,,,,,17,Aerobic Growth of X_AUT,,,,
Stoich.Row.18,,,,,,,,,,,,,,,,,,,,18,Lysis of X_AUT,,,,
Stoich.Row.19,,,,,,,,,,,,,,,,,,,,19,Precipitation,,,,
Stoich.Row.20,,,,,,,,,,,,,,,,,,,,20,Re-dissolution,,,,
Conversion Factor,,,,,,,,,,,,,,,,,,,,,Conversion Factor Unit,,,,
COD,-1,1,1,,-64/14,,1,,-24/14,1,,,,,,,,,,,g COD / g Component_i as COD or N,,,,
N,,i_N_SF,,1,1,,i_N_SI,,1,i_N_XI,,,,,,,,,,,g N / g Component_i as COD or N,,,,
P,,i_P_SF,,,,1,i_P_SI,,,i_P_XI,,,,,,,,,,,g P / g Component_i as COD or P,,,,
Charge ,,,-1/64,1/14,-1/14,-1.5/31,,-1,,,,,,,,,,,,,"Charge / g of Component_i as [COD, N, or P] or mole HCO3-",,,,
Mass (g TSS),,,,,,,,,,i_TSS_XI,,,,,,,,,,,"g TSS / g of Component_i as COD, P or TSS",,,,
